Community,SASAPRegions,NAMELSAD,region,Reg_corp,County,LAT,LONG,Urban
Pleasant Valley,Yukon,Pleasant Valley CDP,Yukon,Doyon,Fairbanks North Star,64.8854337,-146.8986093,0
Point Baker,Southeast,Point Baker CDP,Southeast,Sealaska,Prince of Wales-Hyder,56.3481317,-133.6167942,0
Point Hope,Kotzebue,Point Hope city,Kotzebue,Arctic Slope,North Slope,68.3441516,-166.6748517,0
Point Lay,Arctic,Point Lay CDP,Arctic,Arctic Slope,North Slope,69.7481867,-163.0130248,0
Point MacKenzie,Cook Inlet,Point MacKenzie CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.3555968,-150.1693496,0
Point Possession,Cook Inlet,Point Possession CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.9230807,-150.6888443,0
Point Whitshed,Prince William Sound,,,,,,,0
Polk Inlet,Southeast,,,,,,,0
Pope-Vannoy Landing,Bristol Bay,Pope-Vannoy Landing CDP,Bristol Bay,Bristol Bay,Lake and Peninsula,59.5706021,-154.4472363,0
Port Alexander,Southeast,Port Alexander city,Southeast,Sealaska,Prince of Wales-Hyder,56.2375127,-134.6528054,0
Port Alice,Southeast,,,,,,,0
Port Alsworth,Bristol Bay,Port Alsworth CDP,Bristol Bay,Cook Inlet,Lake and Peninsula,60.1578492,-154.3406085,0
Port Ashton,Prince William Sound,,,,,,,0
Port Bailey,Kodiak,,,,,,,0
Port Chilkoot,Southeast,,,,,,,0
Port Clarence,Norton Sound,Port Clarence CDP,Norton Sound,Bering Straits,Nome,65.1091167,-166.7644574,0
Port Graham,Cook Inlet,Port Graham CDP,Cook Inlet,Chugach,Kenai Peninsula,59.3397901,-151.8465013,0
Port Heiden,Alaska Peninsula and Aleutian Islands,Port Heiden city,Aleutian Islands,Bristol Bay,Lake and Peninsula,56.9643385,-158.5852848,0
Port Higgins,Southeast,,,,,,,0
Port Lions,Kodiak,Port Lions city,Kodiak,Koniag,Kodiak Island,57.8669944,-152.8563039,0
Port Moller,Alaska Peninsula and Aleutian Islands,,,,,,,0
Port Protection,Southeast,Port Protection CDP,Southeast,Sealaska,Prince of Wales-Hyder,56.3318805,-133.6064199,0
Port Williams,Kodiak,,,,,,,0
Portage,Cook Inlet,,,,,,,1
Portage Creek,Bristol Bay,Portage Creek CDP,Bristol Bay,Bristol Bay,Dillingham,58.9049084,-157.6690522,0
Portlock,Cook Inlet,,,,,,,0
Potter,Cook Inlet,,,,,,,1
Primrose,Cook Inlet,Primrose CDP,Cook Inlet, ,Kenai Peninsula,60.3416244,-149.2964485,0
Prudhoe Bay,Arctic,Prudhoe Bay CDP,Arctic,Arctic Slope,North Slope,70.3662097,-148.7455286,0
Quinhagak,Kuskokwim,Quinhagak city,Kuskokwim,Calista,Bethel,59.7508377,-161.8987146,0
Rainbow,Cook Inlet,,,,,,,1
Rampart,Yukon,Rampart CDP,Yukon,Doyon,Yukon-Koyukuk,65.4049512,-149.9209178,0
Red Devil,Kuskokwim,Red Devil CDP,Kuskokwim,Calista,Bethel,61.7575614,-157.3584514,0
Red Dog Mine,Kotzebue,Red Dog Mine CDP,Kotzebue,NANA,Northwest Arctic,68.0644112,-162.8668688,0
Red Mountain,Cook Inlet,,,,,,,0
Refuge Cove,Southeast,,,,,,,0
Ridgeway,Cook Inlet,Ridgeway CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.5359428,-151.0578867,0
Rowan Bay,Southeast,,,,,,,0
Ruby,Yukon,Ruby city,Yukon,Doyon,Yukon-Koyukuk,64.7232896,-155.5005397,0
Russian Mission,Yukon,Russian Mission city,Yukon,Calista,Kusilvak,61.7786622,-161.3634059,0
Saginaw Bay,Southeast,,,,,,,0
Saint Marys,Yukon,St. Mary's city,Yukon,Calista,Kusilvak,62.0647611,-163.2557163,0
Saint Michael,Norton Sound,St. Michael city,Norton Sound,Bering Straits,Nome,63.4639863,-162.1331637,0
Saint Paul Island,Alaska Peninsula and Aleutian Islands,St. Paul city,Aleutian Islands,Aleut,Aleutians West,57.1790411,-170.3250684,0
Salamatof,Cook Inlet,Salamatof CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.605183,-151.3117822,0
Salcha,Yukon,Salcha CDP,Yukon,Doyon,Fairbanks North Star,64.534001,-146.8842264,0
Saltery Cove,Kodiak,,,,,,,0
Sand Point,Alaska Peninsula and Aleutian Islands,Sand Point city,Aleutian Islands,Aleut,Aleutians East,55.3133735,-160.4832129,0
Savoonga,Norton Sound,Savoonga city,Norton Sound,Bering Straits,Nome,63.6797056,-170.4833236,0
Saxman,Southeast,Saxman city,Southeast,Sealaska,Ketchikan Gateway,55.3235565,-131.5863332,1
Saxman East,Southeast,,,,,,,0
Scammon Bay,Yukon,Scammon Bay city,Yukon,Calista,Kusilvak,61.8419289,-165.5832794,0
Selawik,Kotzebue,Selawik city,Kotzebue,NANA,Northwest Arctic,66.5918378,-160.0022125,0
Seldovia,Cook Inlet,Seldovia city,Cook Inlet,Cook Inlet,Kenai Peninsula,59.4386993,-151.7119845,0
Seldovia Village,Cook Inlet,Seldovia Village CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,59.4612699,-151.5887555,0
Seward,Cook Inlet,Seward city,Cook Inlet,Chugach,Kenai Peninsula,60.1247863,-149.3915808,0
Shageluk,Yukon,Shageluk city,Yukon,Doyon,Yukon-Koyukuk,62.6617877,-159.5521885,0
Shaktolik,Norton Sound,Shaktoolik city,Norton Sound,Bering Straits,Nome,64.359686,-161.2007237,0
Shaktoolik,Norton Sound,Shaktoolik city,Norton Sound,Bering Straits,Nome,64.359686,-161.2007237,0
Sheldon Point,Yukon,,,,,,,0
Sheldon Point (Nunam Iqua),Yukon,,,,,,,0
Shemya,Alaska Peninsula and Aleutian Islands,,,,,,,0
Shemya Station,Alaska Peninsula and Aleutian Islands,,,,,,,0
Shishmaref,Kotzebue,Shishmaref city,Kotzebue,Bering Straits,Nome,66.2387173,-166.1092917,0
Shoreline Drive,Southeast,,,,,,,0
Shungnak,Kotzebue,Shungnak city,Kotzebue,NANA,Northwest Arctic,66.880505,-157.149979,0
Silver Springs,Copper River,Silver Springs CDP,Copper River,Ahtna,Valdez-Cordova,62.0193113,-145.3583112,0
Sitka,Southeast,Sitka city and borough,Southeast,Sealaska,Sitka,57.1932044,-135.3673965,1
Skagway,Southeast,Skagway CDP,Southeast,Sealaska,Skagway,59.4643604,-135.2751506,0
Skwentna,Cook Inlet,Skwentna CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.8886894,-151.1999937,0
Slana,Copper River,Slana CDP,Copper River,Ahtna,Valdez-Cordova,62.6169002,-143.5197327,0
Sleetmute,Kuskokwim,Sleetmute CDP,Kuskokwim,Calista,Bethel,61.6538615,-157.1030202,0
Soldotna,Cook Inlet,Soldotna city,Cook Inlet,Cook Inlet,Kenai Peninsula,60.4853176,-151.0690145,1
South Bjerremark,Yukon,,,,,,,0
South Naknek,Bristol Bay,South Naknek CDP,Bristol Bay,Bristol Bay,Bristol Bay,58.6755335,-156.994126,0
South Van Horn,Yukon,South Van Horn CDP,Yukon,Doyon,Fairbanks North Star,64.8097339,-147.7877523,0
Sparrevohn Station,Yukon,,,,,,,0
Spenard,Cook Inlet,,,,,,,1
Squaw Harbor,Alaska Peninsula and Aleutian Islands,,,,,,,0
St. George,Alaska Peninsula and Aleutian Islands,St. George city,Aleutian Islands,Aleut,Aleutians West,56.5927943,-169.6243783,0
St. George Island,Alaska Peninsula and Aleutian Islands,,,,,,,0
Saint George Isl,Alaska Peninsula and Aleutian Islands,,,,,,,0
St. John Harbor,Southeast,,,,,,,0
St. Mary's,Yukon,St. Mary's city,Yukon,Calista,Kusilvak,62.0647611,-163.2557163,0
St. Michael,Norton Sound,St. Michael city,Norton Sound,Bering Straits,Nome,63.4639863,-162.1331637,0
St. Paul,Alaska Peninsula and Aleutian Islands,St. Paul city,Aleutian Islands,Aleut,Aleutians West,57.1790411,-170.3250684,0
Stebbins,Norton Sound,Stebbins city,Norton Sound,Bering Straits,Nome,63.4733985,-162.2635281,0
Steele Creek,Yukon,Steele Creek CDP,Yukon,Doyon,Fairbanks North Star,64.9266118,-147.4350903,0
Sterling,Cook Inlet,Sterling CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.5405334,-150.8058488,0
Stevens,Yukon,,,,,66.023707,-149.0803135,0
Stevens Village,Yukon,Stevens Village CDP,Yukon,Doyon,Yukon-Koyukuk,,,0
Stony River,Kuskokwim,Stony River CDP,Kuskokwim,Calista,Bethel,61.7896938,-156.5886824,0
Summit,Yukon,,,,,,,0
Sunrise,Cook Inlet,Sunrise CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.8700678,-149.4677982,0
Suntrana,Yukon,,,,,,,0
Susitna,Cook Inlet,Susitna CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.5492797,-150.7264784,0
Susitna North,Cook Inlet,Susitna North CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,62.1475331,-149.748667,0
Sutton,Cook Inlet,,,,,,,0
Sutton-Alpine,Cook Inlet,Sutton-Alpine CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.7418932,-148.8742043,0
Takotna,Kuskokwim,Takotna CDP,Kuskokwim,Doyon,Yukon-Koyukuk,62.9823415,-156.0840594,0
Taku Harbor,Southeast,,,,,,,0
Talkeetna,Cook Inlet,Talkeetna CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,62.2713769,-150.084564,0
Tanacross,Yukon,Tanacross CDP,Yukon,Doyon,Southeast Fairbanks,63.32806,-143.4870871,0
Tanaina,Cook Inlet,Tanaina CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.6572425,-149.4277468,1
Tanana,Yukon,Tanana city,Yukon,Doyon,Yukon-Koyukuk,65.18447,-152.0547103,0
Tanunak,Kuskokwim,,,,,,,0
Tatalina Station,Yukon,,,,,,,0
Tatitlek,Prince William Sound,Tatitlek CDP,Prince William Sound,Chugach,Valdez-Cordova,60.8938756,-146.6699217,0
Tazlina,Copper River,Tazlina CDP,Copper River,Ahtna,Valdez-Cordova,62.0583489,-145.4643747,0
Telida,Yukon,,,,,,,0
Teller,Norton Sound,Teller city,Norton Sound,Bering Straits,Nome,65.2525149,-166.3523922,0
Teller Mission,Norton Sound,,,,,,,0
Tenakee,Southeast,,,,,,,0
Tenakee Springs,Southeast,Tenakee Springs city,Southeast,Sealaska,Hoonah-Angoon,57.7900544,-135.1354459,0
Terror Bay,Kodiak,,,,,,,0
Tetlin,Yukon,Tetlin CDP,Yukon,Doyon,Southeast Fairbanks,63.180949,-142.5103817,0
Thane,Southeast,,,,,,,0
Thoms Place,Southeast,,,Sealaska,Prince of Wales-Hyder,,,0
Thorne Bay,Southeast,Thorne Bay city,Southeast,,,55.6670265,-132.5356533,0
Togiak,Bristol Bay,Togiak city,Bristol Bay,Bristol Bay,Dillingham,59.0440309,-160.425889,0
Tok,Yukon,Tok CDP,Yukon,Doyon,Southeast Fairbanks,63.3288523,-143.0375432,0
Tokeen,Southeast,,,,,,,0
Toksook Bay,Kuskokwim,Toksook Bay city,Kuskokwim,Calista,Bethel,60.528071,-165.1061883,0
Tolsona,Copper River,Tolsona CDP,Copper River,Ahtna,Valdez-Cordova,62.0686354,-146.1231161,0
Tonsina,Copper River,Tonsina CDP,Copper River,Ahtna,Valdez-Cordova,61.5308984,-145.1108357,0
Trapper Creek,Cook Inlet,Trapper Creek CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,62.4177403,-150.4051368,0
Tuluksak,Kuskokwim,Tuluksak CDP,Kuskokwim,Calista,Bethel,61.1042731,-160.9375722,0
Tuntatuliag,Kuskokwim,Tuntutuliak CDP,Kuskokwim,Calista,Bethel,60.385009,-162.6843371,0
Tuntutuliak,Kuskokwim,Tuntutuliak CDP,Kuskokwim,Calista,Bethel,60.385009,-162.6843371,0
Tununak,Kuskokwim,Tununak CDP,Kuskokwim,Calista,Bethel,60.6070867,-165.1282628,0
Twin Hills,Bristol Bay,Twin Hills CDP,Bristol Bay,Bristol Bay,Dillingham,59.0818584,-160.2806454,0
Twin Peaks,Cook Inlet,,,,,,,1
Two Rivers,Yukon,Two Rivers CDP,Yukon,Doyon,Fairbanks North Star,64.8908446,-147.0898835,0
Tyonek,Cook Inlet,Tyonek CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,61.1031003,-151.3859393,0
Uganik Bay,Kodiak,,,,,,,0
Ugashik,Bristol Bay,Ugashik CDP,Bristol Bay,Bristol Bay,Lake and Peninsula,57.6474339,-156.9949082,0
Unalakleet,Norton Sound,Unalakleet city,Norton Sound,Bering Straits,Nome,63.8943539,-160.7969075,0
Unalaska,Alaska Peninsula and Aleutian Islands,Unalaska city,Aleutian Islands,Aleut,Aleutians West,53.9107988,-166.5274463,1
Unga,Alaska Peninsula and Aleutian Islands,,,,,,,0
Upper Kalskag,Kuskokwim,Upper Kalskag city,Kuskokwim,Calista,Bethel,61.5395155,-160.3483265,0
Usibelli,Yukon,,,,,,,0
Usibelli Mine,Yukon,,,,,,,0
Uzinki,Kodiak,,,,,,,0
Valdez,Prince William Sound,Valdez city,Prince William Sound,Chugach,Valdez-Cordova,61.0836208,-146.317179,0
Venetie,Yukon,Venetie CDP,Yukon,Doyon,Yukon-Koyukuk,67.0206066,-146.3751538,0
Wainwright,Arctic,Wainwright city,Arctic,Arctic Slope,North Slope,70.6582417,-159.9851945,0
Wales,Kotzebue,Wales city,Kotzebue,Bering Straits,Nome,65.6132325,-168.0683133,0
Ward Cove,Southeast,,,,,,,1
Warm Springs Bay,Southeast,,,,,,,0
Wasilla,Cook Inlet,Wasilla city,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.5752398,-149.4568398,1
West Petersburg,Southeast,Whale Pass CDP,Southeast,,,,,0
West Point,Kodiak,,,,,,,0
Whale Pass,Southeast,,,Sealaska,Prince of Wales-Hyder,56.1266992,-133.1976855,0
White Mountain,Norton Sound,White Mountain city,Norton Sound,Bering Straits,Nome,64.6823553,-163.4127546,0
Whitestone,Southeast,Whitestone CDP,Yukon,Doyon,Southeast Fairbanks,64.1528376,-145.9063852,0
Whitestone Logging Camp,Southeast,Whitestone Logging Camp CDP,Southeast,Sealaska,Hoonah-Angoon,58.0653797,-135.4204774,0
Whittier,Prince William Sound,Whittier city,Prince William Sound,Chugach,Valdez-Cordova,60.7766828,-148.6646423,0
Willow,Cook Inlet,Willow CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.8870223,-149.6197061,0
Willow Creek,Copper River,Willow Creek CDP,Copper River,Ahtna,Valdez-Cordova,61.8646439,-145.199413,0
Wiseman,Yukon,Wiseman CDP,Yukon,Doyon,Yukon-Koyukuk,67.4814274,-150.1607236,0
Womens Bay,Kodiak,Womens Bay CDP,Kodiak,Koniag,Kodiak Island,57.6886693,-152.6770662,0
Wood Spur,Yukon,,,,,,,0
Woody Island,Kodiak,,,,,,,0
Wrangell,Southeast,Wrangell city and borough,Southeast,Sealaska,Wrangell,56.317416,-132.343978,0
Y,Cook Inlet,,,,,,,0
Yakataga,Southeast,,,,,,,0
Yakutat,Southeast,Yakutat CDP,Southeast,Sealaska,Yakutat,59.5635878,-139.6061905,0
Yes Bay,Southeast,,,,,,,0
Zachar Bay,Kodiak,,,,,,,0
Basher,Cook Inlet,,,,,,,0
Bay City,Cook Inlet,,,,,,,0
Donnelly,Yukon,,,,,,,0
Eielson,Yukon,,,,,,,1
Elmendorf,Cook Inlet,,,,,,,1
Emanguk,Yukon,,,,,,,0
Fritz Cove,Southeast,,,,,,,0
Glen Alps,Cook Inlet,,,,,,,1
Graehl,Yukon,,,,,,,0
Iguigig,Bristol Bay,,,,,,,0
Lemeta,Yukon,,,,,,,0
Lemon Creek,Southeast,,,,,,,1
Lena Cove,Southeast,,,,,,,1
Lower Mendenhall Valley,Southeast,,,,,,,1
Mc Grath,Kuskokwim,,,,,,,0
Mendenhall Flats,Southeast,,,,,,,1
Mumtrak,Kuskokwim,,,,,,,0
Napaiskak,Kuskokwim,,,,,,,0
North Douglas,Southeast,,,,,,,1
Salmon Creek,Southeast,,,,,,,1
Sand Lake,Cook Inlet,,,,,,,1
Scow Bay,Southeast,,,,,,,0
Shungnak Village,Kotzebue,,,,,,,0
St George,Alaska Peninsula and Aleutian Islands,,,,,,,0
St Marys,Yukon,,,,,,,0
St Michael,Norton Sound,,,,,,,0
St Paul,Alaska Peninsula and Aleutian Islands,,,,,,,0
St George Isl,Alaska Peninsula and Aleutian Islands,,,,,,,0
Upper Mendenhall Valley,Southeast,,,,,,,1
Wildwood Station,Cook Inlet,,,,,,,0
Aurora-Johnston,Yukon,,,,,,,0
Denali Natl Park,Yukon,,,,,,,0
Saint Paul Isl,Alaska Peninsula and Aleutian Islands,,,,,,,0
Bartlett Cove,Southeast,,,,,,,0
Sourdough,Copper River,,,,,,,0
Seal Bay,Kodiak,Kodiak city,Kodiak,Koniag,Kodiak Island,,,0
JBER,Cook Inlet,,,,,,,1
St Paul Isl,Alaska Peninsula and Aleutian Islands,,,,,,,0
Bettles Field,Yukon,,,,,,,0
Yentna,Cook Inlet,,,,,,,0
Cold Foot,Yukon,,,,,,,0
Lake Clark,Bristol Bay,,,,,,,0
Chena Hot Springs,Yukon,,,,,,,0
U.S.C.G. Kodiak,Kodiak,Kodiak city,Kodiak,Koniag,Kodiak Island,,,1
Chatanika,Yukon,,,,,,,0
Boundary,Yukon,,,,,,,0
Eureka,Copper River,Eureka Roadhouse CDP,Copper River,Ahtna,Matanuska-Susitna,61.9585075,-147.1551042,0
New Halen,Bristol Bay,Newhalen city,Bristol Bay,Bristol Bay,Lake and Peninsula,59.7364292,-154.9009546,0
Utqiagvik,Arctic,Barrow city,Arctic,Arctic Slope,North Slope,71.2516793,-156.8005236,1
